x_value,y_value
0,3.22624742338942
1,3.22624742338942
2,3.22624742338942
3,3.22624742338942
4,3.22624742338942
5,3.22624742338942
6,3.22624742338942
7,3.22624742338942
8,3.22624742338942
9,3.22624742338942
10,3.22624742338942
11,3.22624742338942
12,3.22624742338942
13,3.22624742338942
14,3.22624742338942
15,3.22624742338942
16,3.22624742338942
17,3.22624742338942
18,3.22624742338942
19,3.22624742338942
20,3.22624742338942
21,3.22624742338942
22,3.22624742338942
23,3.22624742338942
24,3.22624742338942
25,3.22624742338942
26,3.22624742338942
27,3.22624742338942
28,3.22624742338942
29,3.22624742338942
30,3.22624742338942
31,3.22624742338942
32,3.22624742338942
33,3.22624742338942
34,3.22624742338942
35,3.22624742338942
36,3.22624742338942
37,3.22624742338942
38,3.22624742338942
39,3.22624742338942
40,3.22624742338942
41,3.22624742338942
42,3.22624742338942
43,3.22624742338942
44,3.22624742338942
45,3.22624742338942
46,3.22624742338942
47,3.22624742338942
48,3.22624742338942
49,3.22624742338942
50,3.22624742338942
51,3.22624742338942
52,3.22624742338942
53,3.22624742338942
54,3.22624742338942
55,3.22624742338942
56,3.22624742338942
57,3.22624742338942
58,3.22624742338942
59,3.22624742338942
60,3.22624742338942
61,3.22624742338942
62,3.22624742338942
63,3.22624742338942
64,3.22624742338942
65,3.22624742338942
66,3.22624742338942
67,3.22624742338942
68,3.22624742338942
69,3.22624742338942
70,3.22624742338942
71,3.22624742338942
72,3.22624742338942
73,3.22624742338942
74,3.22624742338942
75,3.22624742338942
76,3.22624742338942
77,3.22624742338942
78,3.22624742338942
79,3.22624742338942
80,3.22624742338942
81,3.026739235845699
82,3.082608124934454
83,3.138083365597206
84,3.191480136676451
85,3.24162526223638
86,3.2877823056647655
87,3.329568843596028
88,3.3668756750099567
89,3.399793603787297
90,3.4285506756584887
91,3.4534608927552393
92,3.474884179616107
93,3.4931965768546904
94,3.5087691981790843
95,3.521954323980908
96,3.5330770420217097
97,3.542431008504683
98,3.5502771281024845
99,3.5568441925344514
100,3.5623307439033693
101,3.5669076251470586
102,3.5707208398153076
103,3.5738944676129902
104,3.5765334748859865
105,3.5787263259673923
106,3.580547347638504
107,3.5820588299044287
108,3.5833128660039653
109,3.584352946353716
110,3.58521532745941
111,3.5859301995441526
112,3.58652267705258
113,3.587013635203833
114,3.5874204140042516
115,3.587757409002074
116,3.5880365658322075
117,3.588267793418644
118,3.588459308665803
119,3.5886179236235085
120,3.8105490326270934
121,3.733771282842429
122,3.6700258459464257
123,3.61644899774714
124,3.570964822174732
125,3.5320250961825215
126,3.4984483808255424
127,3.4693159608476014
128,3.4439020404669893
129,3.421625465501322
130,3.402015460386834
131,3.3846867700405174
132,3.369321279635609
133,3.355654198380919
134,3.343463523076247
135,3.3325618999082
136,3.322790267060099
137,3.314012837871337
138,3.306113105540378
139,3.2989906348804636
140,3.2925584665143868
141,3.286741001950068
142,3.2814722693577285
143,3.2766944930210076
144,3.2723569067080494
145,3.2684147642298864
146,3.264828510362093
147,3.2615630829117683
148,3.258587322597385
149,6.433127466653297
