x_value,y_value
0,0.9159540862977991
1,0.8688486958446969
2,0.8410834894010119
3,0.8413536628400241
4,0.8696354723391996
5,0.9172793967067029
6,0.9767842843235316
7,1.0441060447078214
8,1.1171980857271189
9,1.1949354101432812
10,1.276617885103667
11,1.3617516685948146
12,1.4499495414921535
13,1.5408833308901289
14,1.6342603898952588
15,1.7298117650156473
16,1.8272862623497643
17,1.9264475509569228
18,2.027072824135093
19,2.128952229985676
20,2.2318886453265567
21,2.3356975652794265
22,2.4402069922393093
23,2.5452572711736146
24,2.6507008536977272
25,2.7564019924494665
26,2.8622363765190393
27,2.96809072207261
28,3.073862332324191
29,3.179458639239117
30,3.284796736792509
31,3.3898029128808265
32,3.4944121844651908
33,3.5985678384141786
34,3.7022209789001224
35,3.805330081099841
36,3.9078605503226393
37,4.009784285469649
38,4.111079245837201
39,4.211729020624557
40,4.311722401005853
41,4.369172857064327
42,4.648272809899351
43,4.9513260091306215
44,5.209283331460545
45,5.265191072172334
46,5.106235543262772
47,4.889551093910407
48,4.693507555815425
49,4.530351378918124
50,4.395963474046873
51,4.28443410458123
52,4.190829957924035
53,4.111397772035532
54,4.043324080367621
55,3.9844845424505015
56,3.933252586580595
57,3.888363330175674
58,3.84881817493427
59,3.8138175887462626
60,3.7827131717387057
61,3.754972972488896
62,3.7301560103715046
63,3.707893282955611
64,3.687873408461782
65,3.6698316290346216
66,3.653541284842373
67,3.638807128655637
68,3.6254600283515406
69,3.613352728193661
70,3.878971993719813
71,3.9605168783197904
72,4.042213364628447
73,4.124048419289307
74,4.206010192989226
75,4.288087905249022
76,4.370271741226581
77,4.45255275922334
78,4.5349228077251125
79,4.6173744509356505
80,4.699900901876428
81,4.782495962229686
82,4.865153968194343
83,4.9478697417069775
84,5.030638546453483
85,5.113456048162128
86,5.196318278726406
87,5.279221603757094
88,5.362162693207951
89,5.44513849475931
90,5.528146209678917
91,5.611183270910355
92,5.694247323166766
93,5.777336204831725
94,5.860447931490456
95,5.943580680933439
96,6.026732779491145
97,6.109902689573412
98,6.193088998300025
99,6.276290407120742
100,6.359505722333258
101,6.4427338464168065
102,6.525973770107243
103,6.609224565146748
104,6.692485377647775
105,6.775755422016662
106,6.859033975387556
107,6.942320372521905
108,7.025614001132997
109,7.108914297598737
110,7.192220743029275
111,7.275532859659068
112,7.3588502075357765
113,7.442172381480828
114,7.525499008298703
115,7.608829744214064
116,7.6921642725176405
117,7.77550230140348
118,7.85884356198164
119,7.942187806451801
120,8.025534806424515
121,8.10888435137792
122,8.192236247238805
123,8.275590315077832
124,8.358946389909585
125,8.44230431958891
126,8.525663963795676
127,8.609025193100813
128,8.69238788810701
129,8.77575193865804
130,8.859117243111157
131,8.942483707667487
132,9.02585124575571
133,9.109219777464801
134,9.19258922902181
135,9.275959532311123
136,9.359330624431859
137,9.442702447290328
138,9.526074947224783
139,9.609448074659841
140,9.692821783788226
141,9.776196032277655
142,9.859570781000853
143,9.94294599378685
144,10.026321637191872
145,10.109697680288273
146,10.193074094470052
147,10.276450853273671
148,10.359827932212912
149,20.88635232199896
