x_value,y_value
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,1.487118415026246
61,1.641958490313585
62,1.7783104555393703
63,1.8983718501573386
64,2.004081287146292
65,2.0971484369518643
66,2.1790806612651132
67,2.251206641980517
68,2.3146973222331737
69,2.3705844483924383
70,2.4197769749312577
71,2.4630755685969175
72,2.5011854245121925
73,2.534727584848612
74,2.5642489305537457
75,2.5902309982572373
76,2.613097757839813
77,2.6332224711450625
78,2.6509337388172773
79,2.6665208301565997
80,2.680238380072025
81,229.55327413999194
82,176.8274653302666
83,142.732224057848
84,118.57844977008895
85,100.48069771597419
86,86.41228950936093
87,75.19154450501456
88,86.83954078989076
89,98.01046559805488
90,108.67937261116288
91,118.82437596038181
92,128.42749076882012
93,137.47536530882482
94,145.9598498231576
95,153.87835632643697
96,161.23397980422482
97,168.03537210672144
98,174.29638228356055
99,180.03549751547854
100,185.27513404073466
101,190.04083562482128
102,194.36043778865488
103,198.26325020944725
104,201.7792993995359
105,204.9386612516075
106,207.77090041708374
107,210.30462231979993
108,212.56713479841994
109,214.58421021085218
110,216.37993516563665
111,217.9766334474476
112,219.39484765119116
113,220.6533660171149
114,221.76928252963438
115,222.75808016945987
116,223.63372905848567
117,224.40879296369116
118,225.0945391514681
119,225.70104787649166
120,2.1579346719991133
121,-5.321865612835579
122,-4.364364500685775
123,-3.521337688875318
124,-2.779125854662156
125,-2.1256455759743096
126,-1.55022790855963
127,-1.0434672651063406
128,-0.5970818245598382
129,-0.20378600038033215
130,0.14282503287108966
131,0.4483791327817434
132,0.7178199314701619
133,0.9554893076776811
134,1.1652004449983422
135,1.3503023540087533
136,1.5137367197541722
137,1.6580878952391713
138,1.7856268060944873
139,1.8983494685669948
140,1.9980107573963528
141,2.0861539953449073
142,2.164136874266826
143,2.2331541598962317
144,2.2942575796388605
145,2.3483732447740184
146,2.3963169155722612
147,2.438807379651829
148,2.4764781801264326
149,0.0
